Ticker,CQ_EPS,NQ_EPS,CY_EPS,NY_EPS,CQ_Rev,NQ_Rev,CY_Rev,NY_Rev,Year,Annual EPS,Annual Revenue,Date,Quarter EPS,Quarter Revenue,Previous Quarter EPS2,Previous Quarter EPS,Corrent Quarter EPS,Next Quarter EPS,Previous Annual EPS2,Previous Annual EPS,Corrent Annual EPS,Next Annual EPS,Previous Quarter Revenue2,Previous Quarter Revenue,Corrent Quarter Revenue,Next Quarter Revenue,Previous Annual Revenue2,Previous Annual Revenue,Corrent Annual Revenue,Next Annual Revenue
META,,,,,,,,,,,,2022/06/30,,28822000000.0,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2022/03/31,,27908000000.0,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2021/12/31,,33671000000.0,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2021/09/30,,29010000000.0,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
LLY,2.25,2.43,11.06,15.98,7970000000.0,8730000000.0,36560000000.0,45280000000.0,,,,,,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,2022,6.572215,,,,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,2021,5.852967,,,,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,2020,6.47477,,,,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2023/12/31,2.49,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2023/09/30,0.1,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2023/06/30,2.11,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2023/03/31,1.62,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2022/12/31,2.09,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2022/09/30,1.98,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2022/06/30,1.25,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2022/03/31,2.62,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2021/12/31,2.49,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2021/09/30,1.94,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,2022,,28541400000.0,,,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,2021,,28318400000.0,,,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,2020,,24539800000.0,,,,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2023/12/31,,9353400000.0,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2023/09/30,,9498600000.0,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
